title,link,atom,description,creator,pubDate,category,media_content,media_credit,media_description
Shortchanged: Why British Life Expectancy Is Falling,https://www.nytimes.com/2019/08/30/world/europe/uk-life-expectancy.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/world/europe/uk-life-expectancy.html?emc=rss&partner=rss,"For the first time in modern history, Britons are living shorter lives, with poor lifestyles, depression and budget cuts the leading causes.","Fri, 30 Aug 2019 19:00:44 +0000","['Longevity', 'Smoking and Tobacco', 'Addiction (Psychology)', 'Elderly', 'Drug Abuse and Traffic', 'Great Britain', 'Hartlepool, England']",https://static01.nyt.com/images/2019/08/14/world/xxhartlepool1/xxhartlepool1-moth.jpg,Mary Turner for The New York Times,"The food bank run by the Rev. Gemma Sampson, vicar of St. Aidan’s Church in Hartlepool, England, where life expectancy rates are falling sharply."
"Takis, Sculptor Who Made Art From Moving Parts, Dies at 93",https://www.nytimes.com/2019/08/30/arts/takis-dead.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/arts/takis-dead.html?emc=rss&partner=rss,"His Kinetic works could resemble science projects or unfinished constructions. When they were activated, their movements could startle, educate and entertain.","Fri, 30 Aug 2019 18:27:46 +0000","['Takis (1925-2019)', 'Deaths (Obituaries)', 'Art', 'Sculpture']",https://static01.nyt.com/images/2019/08/31/obituaries/00takis1/00takis1-moth.jpg,Tony Evans/Getty Images,"Takis, shown next to one of his works in 1962, was a proponent of Kinetic art — sculptures that used moving parts to explore movement. His materials included motors, magnets and wires."
Iranian Journalist Seeks Asylum After Fleeing Foreign Minister’s Press Corps,https://www.nytimes.com/2019/08/30/world/europe/iranian-journalist-asylum.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/world/europe/iranian-journalist-asylum.html?emc=rss&partner=rss,"The journalist, Amir Tohid Fazel, slipped away from the delegation that accompanied Mohammad Javad Zarif, Iran’s foreign minister, to Sweden.","Fri, 30 Aug 2019 16:19:04 +0000","['Zarif, Mohammad Javad', 'Sweden', 'Iran']",https://static01.nyt.com/images/2019/08/29/world/29iran-journalist/29iran-journalist-moth.jpg,Tt News Agency/Reuters,"Iranian exile groups demonstrating this month outside the Swedish Parliament in Stockholm during the visit of Iran’s foreign minister, Mohammad Javad Zarif."
Poland Had the Royal Castle Ready. Then Trump Canceled His Trip.,https://www.nytimes.com/2019/08/30/world/europe/trump-poland-duda-kaczynski.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/world/europe/trump-poland-duda-kaczynski.html?emc=rss&partner=rss,"Ahead of national elections, Poland’s governing party had hoped that President Trump’s visit would give it a boost and blunt concerns that it was undermining democracy.","Fri, 30 Aug 2019 15:25:14 +0000","['Kaczynski, Jaroslaw', 'Duda, Andrzej (1972- )', 'Trump, Donald J', 'United States International Relations', 'Defense and Military Forces', 'Law and Justice (Poland)', 'North Atlantic Treaty Organization', 'Europe', 'Poland', 'Warsaw (Poland)']",https://static01.nyt.com/images/2019/08/30/world/30poland-trump1/30poland-trump1-moth.jpg,Doug Mills/The New York Times,President Trump with the President Andrzej Duda of Poland at the White House in June.
"In Siberia, a First Female Mayor Builds a National Profile",https://www.nytimes.com/2019/08/30/world/europe/siberia-mayor-yakutsk.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/world/europe/siberia-mayor-yakutsk.html?emc=rss&partner=rss,"Women are a rarity in Russian politics, as was the free election that brought Sardana Avksentieva to power. But what really sets her apart is her thriftiness.","Fri, 30 Aug 2019 20:18:10 +0000","['Politics and Government', 'Mayors', 'Putin, Vladimir V', 'Sardana V. Avksentieva', 'Yakutia (Russia)', 'Yakutsk, Russia']",https://static01.nyt.com/images/2019/08/15/world/xxrussia-mayor-profile01/xxrussia-mayor-profile01-moth.jpg,Emile Ducke for The New York Times,"Sardana V. Avksentieva, the mayor of the Siberian city of Yakutsk, has become a social media star."
What’s Next for Brexit? Six Possible Outcomes,https://www.nytimes.com/2019/08/30/world/europe/brexit-scenarios-boris-johnson.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/30/world/europe/brexit-scenarios-boris-johnson.html?emc=rss&partner=rss,The Brexit crisis is reaching a crescendo. But the outcome depends not just on Boris Johnson but on his allies and enemies both at home and abroad.,"Fri, 30 Aug 2019 09:30:56 +0000","['Great Britain Withdrawal from EU (Brexit)', 'Conservative Party (Great Britain)', 'House of Commons (Great Britain)', 'Labour Party (Great Britain)', 'Liberal Democrats (Great Britain)', 'Corbyn, Jeremy (1949- )', 'Johnson, Boris', 'Swinson, Jo (1980- )', 'Great Britain']",https://static01.nyt.com/images/2019/08/29/world/29brexitscenarios1/29brexitscenarios1-moth.jpg,Olivia Harris for The New York Times,"Pro-European Union protesters outside the Houses of Parliament in London, on Thursday."
Holidays Are a Way of Life in France in August. Yellow Vests Can’t Afford Them.,https://www.nytimes.com/2019/08/29/world/europe/yellow-vests-summer-vacation-france.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/world/europe/yellow-vests-summer-vacation-france.html?emc=rss&partner=rss,"France is justifiably famous for its long summer vacations. But more and more can no longer afford to go, reflecting an increasingly unequal society.","Thu, 29 Aug 2019 16:40:38 +0000","['Politics and Government', 'Travel and Vacations', 'Yellow Vests Movement', 'Income Inequality', 'France', 'Summer (Season)', 'Demonstrations, Protests and Riots']",https://static01.nyt.com/images/2019/08/30/world/30yellow-vest-vacation-reefer/xxyellow-vest-vacation1-moth.jpg,Mauricio Lima for The New York Times,"Members of the Yellow Vest movement at a roundabout near Aumetz, France, in August."
W.H.O. Warns of ‘Dramatic’ Rise in Measles in Europe,https://www.nytimes.com/2019/08/29/world/europe/measles-uk-czech-greece-albania.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/world/europe/measles-uk-czech-greece-albania.html?emc=rss&partner=rss,"The disease had a resurgence in Britain, Greece, the Czech Republic and Albania, the World Health Organization said.","Thu, 29 Aug 2019 16:11:08 +0000","['Measles', 'World Health Organization', 'Vaccination and Immunization', 'Albania', 'Czech Republic', 'Great Britain', 'Greece']",https://static01.nyt.com/images/2019/08/29/world/29measles/29measles-moth.jpg,Geoff Caddick/Agence France-Presse — Getty Images,"A toddler receiving the combined measles, mumps and rubella vaccination in Wales."
"Britain’s Queen Is a Figurehead, but She Just Got Dragged Into Brexit Politics",https://www.nytimes.com/2019/08/29/world/europe/uk-queen-parliament-boris-johnson.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/world/europe/uk-queen-parliament-boris-johnson.html?emc=rss&partner=rss,"When Boris Johnson asked Queen Elizabeth II to suspend Parliament, many who opposed his move hoped she would intervene. But experts say she had little sway over the matter.","Thu, 29 Aug 2019 17:24:12 +0000","['Great Britain', 'Elizabeth II, Queen of Great Britain', 'Legislatures and Parliaments', 'Politics and Government', 'Great Britain Withdrawal from EU (Brexit)', 'Johnson, Boris']",https://static01.nyt.com/images/2019/08/29/world/29queen1/merlin_158384445_448afa0a-56f6-42b7-ab47-c7c564a04d8d-moth.jpg,Pool photo by Wpa,"Queen Elizabeth II with Boris Johnson in July. In her decades on the throne, she has maintained a strongly apolitical persona."
E.U. Has Been Called Antidemocratic. Now It Asks if U.K. Has the Same Problem.,https://www.nytimes.com/2019/08/29/world/europe/boris-johnson-parliament-eu.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/29/world/europe/boris-johnson-parliament-eu.html?emc=rss&partner=rss,"Reading behind the lines of Boris Johnson’s suspension of Parliament, many diplomats in Europe see the move as a hardball negotiation tactic.","Thu, 29 Aug 2019 12:33:25 +0000","['Politics and Government', 'Legislatures and Parliaments', 'Great Britain Withdrawal from EU (Brexit)', 'European Union', 'Democracy (Theory and Philosophy)', 'Johnson, Boris', 'Great Britain', 'Europe']",https://static01.nyt.com/images/2019/08/29/world/29eu-brexit1/29eu-brexit1-moth.jpg,Daniel Leal-Olivas/Agence France-Presse — Getty Images,A protester opposed to Brexit outside Parliament in London on Thursday.
